date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2023-01-01,13.3,11.4,15.1,0,209,14.1,1018.9
2023-01-02,11.6,7.3,14.1,3.4,219,14.5,1019.8
2023-01-03,7.3,4.6,9.1,0.6,215,10.4,1029.5
2023-01-04,8,5.6,10.9,4.7,219,24.4,1022.9
2023-01-05,10.8,9.5,12.4,0.1,237,16.3,1021.3
2023-01-06,10.6,9.8,11.8,0,221,15.3,1021.4
2023-01-07,9.6,6.6,11.2,3.5,194,10.2,1016.3
2023-01-08,9,8.1,10.1,4.4,194,14.9,1006
2023-01-09,7.5,5.5,9,0.1,222,18,1002.6
2023-01-10,6.1,5,7.3,0.7,221,16.5,1019.3
2023-01-11,8.1,5.9,10.3,5.6,221,20.4,1015.2
2023-01-12,9.1,8.1,10.1,15.8,217,29.1,1014
2023-01-13,8.9,6.3,10.6,7.6,229,24.9,1011.8
2023-01-14,7.7,5.4,9.9,12.4,209,23.6,1012.8
2023-01-15,6.3,4.5,9.8,4.3,228,23.3,1004.7
2023-01-16,5,3.9,6.5,3.2,186,23.7,990.1
2023-01-17,2.8,0.4,5.9,0,269,12.9,988.5
2023-01-18,1,-1.4,3.3,0,322,11.4,996.7
2023-01-19,0.4,-1.8,2.2,0.2,226,14.3,1008.1
2023-01-20,0.4,-1.2,2.5,2.6,184,6.6,1016.8
2023-01-21,-0.3,-2.9,1.4,0,18,17.1,1027.1
2023-01-22,1.7,1,2.6,0,16,16.2,1028.5
2023-01-23,2.1,0.6,5.3,0,36,16.5,1034
2023-01-24,2,0.5,3,0,38,13.6,1036.9
2023-01-25,1,-0.3,2.1,0,28,6.9,1032.4
2023-01-26,-0.6,-1.4,0.4,0.2,9,8.1,1023.5
2023-01-27,2.5,0.4,4.2,0,30,12.6,1023.4
2023-01-28,1.5,-0.1,2.2,0,14,14.1,1028.2
2023-01-29,-0.5,-2.2,1,0,225,8.3,1028.9
2023-01-30,3.6,0.1,6.5,0,243,21.7,1020.5
2023-01-31,4.2,2.4,6,1.3,228,18.6,1024.7
2023-02-01,6.4,5.3,8.1,0.4,251,23.2,1020.9
2023-02-02,7.8,6.7,9,1.1,255,21.3,1024.1
2023-02-03,8.3,7.1,9.6,1.8,255,23,1026.5
2023-02-04,6.8,3.3,8.9,0,14,10,1035.5
2023-02-05,3.8,2.5,5.3,6.2,94,8,1037
2023-02-06,3.6,1.1,6.9,0.2,27,13,1039.4
2023-02-07,1.2,-1.5,4.8,0,44,10,1040.3
2023-02-08,0.6,-3,6.4,0,54,9,1038.5
2023-02-09,-0.4,-4,3.9,0,174,8.3,1035
2023-02-10,1.3,-2.1,5.2,0,217,10.4,1038.5
2023-02-11,4.4,1.6,7,0,231,11.5,1037
2023-02-12,7.3,5.5,10,0,55,6.1,1039
2023-02-13,7.2,2.2,12.9,0,73,8.1,1038.4
2023-02-14,2.2,0.2,5,0,69,6.6,1036
2023-02-15,1.5,0,2.5,0,205,7.5,1030.2
2023-02-16,2.9,-0.5,7.2,0,222,12,1026.6
2023-02-17,11,7.1,13.5,0.1,231,23.2,1023.6
2023-02-18,11.2,10.2,11.9,0,239,22.9,1022.6
2023-02-19,10,8.4,11.4,1.1,254,18.2,1023.1
2023-02-20,9.4,5.3,13.9,0,230,16.7,1025.2
2023-02-21,9.2,5.4,15.4,0,217,7.8,1020.3
2023-02-22,7.5,2.4,13,1,142,6.9,1014.7
2023-02-23,10,8.4,12.6,0.1,258,9,1013.9
2023-02-24,7.2,4,9.6,0.1,279,12.5,1008.7
2023-02-25,3.8,-0.4,8.2,0.1,317,17.7,1008.4
2023-02-26,1,-1.4,4.7,0,24,19.5,1020.1
2023-02-27,1.1,-2.6,5.9,0,40,17.2,1027.4
2023-02-28,1.5,-1.9,6.1,0,42,15.8,1028.7
2023-03-01,2.7,-1.4,8.7,0,32,16.2,1025.7
2023-03-02,5.3,0.2,12.6,0,23,16.1,1020.9
2023-03-03,3.3,-0.2,8.2,0,17,12.9,1022.9
2023-03-04,3.5,-1.3,6.7,0,296,10.9,1023.6
2023-03-05,4.5,3.7,5.5,0,275,8.9,1016.9
2023-03-06,4.2,2.6,6.8,0.1,236,12.2,1007.2
2023-03-07,4.8,2,7.5,1.5,230,23.6,1001.1
2023-03-08,3.4,1.1,7.5,24.9,208,16.2,996.4
2023-03-09,10.7,6.5,13.3,0.4,228,21.4,996.5
2023-03-10,8.8,1.5,11.8,3.2,228,26.8,992.6
2023-03-11,2.3,-0.4,4.7,0,284,12.1,1010.6
2023-03-12,4.4,-0.4,11.1,2,205,13.2,1012.9
2023-03-13,12.1,9.4,16.6,14.1,216,23.5,1003.2
2023-03-14,8.7,3.8,11.8,2.6,248,23.1,999.3
2023-03-15,3.7,0.5,7.9,1,246,11.5,1017.6
2023-03-16,5.3,-0.9,10.6,0,126,11.5,1019.2
2023-03-17,10,2.7,15.6,0.5,169,11.6,1012.5
2023-03-18,13,8.2,18,0,211,10.8,1013
2023-03-19,11.9,9.6,16.3,0.2,221,9.9,1015.6
2023-03-20,10.6,9,13.6,0,232,10.4,1020.2
2023-03-21,9.7,7.9,12.3,3.1,210,9,1017.1
2023-03-22,12.8,7.2,17.1,0.4,222,18,1011.8
2023-03-23,13.8,12.4,15.3,2,213,19.6,1008.8
2023-03-24,13.1,9.1,16.5,6.9,221,20.8,1005.9
2023-03-25,10.4,4.5,14.5,2.4,235,25.7,1008.4
2023-03-26,8.5,5.5,12.3,9.6,219,16.1,1005.3
2023-03-27,4.7,1.8,8.4,0.4,318,18.8,1017.1
2023-03-28,5.6,0.9,9.3,0,238,11.1,1026.3
2023-03-29,10.8,6,15.8,0.6,206,11.3,1017.7
2023-03-30,13.1,10.2,17,9.9,223,20.7,1010.8
2023-03-31,11,9.1,13.6,10.3,216,22.6,1002.5
2023-04-01,10.6,9.3,12,2.1,222,21.2,1000.8
2023-04-02,6.8,4.1,9.5,2.5,33,15.2,1016.1
2023-04-03,5,1.1,8.7,0,38,17,1028.7
2023-04-04,4.4,-0.9,9.5,0,42,12.2,1027.5
2023-04-05,5.3,-0.2,10.8,0,43,7.2,1023.3
2023-04-06,7.1,0.2,13.6,4.6,173,10,1019.5
2023-04-07,7.9,6.4,11.1,1.7,159,8.6,1017.3
2023-04-08,8.1,3.5,12.1,0.1,25,10.7,1023
2023-04-09,9.9,4.7,16,0,70,9.2,1025.4
2023-04-10,12.4,4.9,19,2.8,142,13.9,1020.7
2023-04-11,11.4,8.4,15,1.7,244,16.6,1014.1
2023-04-12,9.4,6.5,12.9,11.7,194,16.9,1004.3
2023-04-13,8.4,6.2,11.5,3.3,229,17.1,1005.9
2023-04-14,9,3.9,15.8,0,248,5.3,1009.3
2023-04-15,8.3,4.4,11.6,3.4,0,13,1010.4
2023-04-16,10.3,8.7,12.8,0.8,349,16.2,1019.5
2023-04-17,10.6,7.7,13.7,0,25,15.1,1023.3
2023-04-18,10.4,5.5,15.3,0,47,17.2,1024.2
2023-04-19,11.3,6.2,15.8,0.2,35,16.9,1022.8
2023-04-20,7.6,4.4,12.4,11,45,15.5,1016.6
2023-04-21,11.9,6.1,19.3,0,64,8.6,1012.8
2023-04-22,15.3,9.8,22.7,1.7,144,11.1,1010.1
2023-04-23,14,11.6,19.6,1.7,209,12.6,1007.9
2023-04-24,10.9,8,13.3,4.5,242,18.7,1007.3
2023-04-25,8.7,5.2,12,0,299,12.5,1013
2023-04-26,8,1.9,13.1,0,329,7.2,1019.1
2023-04-27,11.7,5.5,17.8,0.7,40,8.3,1019.5
2023-04-28,13,9.3,18.3,2.3,193,10.5,1013.3
2023-04-29,12.6,11.1,14.6,0,315,11.8,1016.6
2023-04-30,14.1,8.6,19.9,0,35,13.1,1021
2023-05-01,14.3,9.2,19.5,0,77,8.8,1016
2023-05-02,12.9,6.5,18,0,330,14.2,1022
2023-05-03,11.7,4.6,19.3,0,36,10.9,1026.7
2023-05-04,15.7,7.2,23.6,0,72,10.7,1020.8
2023-05-05,17.4,11.5,24.4,0.5,205,8.1,1017.1
2023-05-06,16.7,11.1,21.9,0,273,5.7,1017.3
2023-05-07,17.8,13.9,23.9,0.5,45,10,1017.1
2023-05-08,15,11.9,19.5,0,74,10.4,1021.2
2023-05-09,16.3,13.8,19.3,18.8,152,9.2,1015
2023-05-10,14.6,11.5,18.1,0.4,241,12.1,1011.4
2023-05-11,12.5,9.8,15.1,14,253,5.5,1014.5
2023-05-12,13.9,11,18.4,0.6,63,11.7,1015.6
2023-05-13,15.5,10.6,21.2,0,40,10.8,1018.5
2023-05-14,14.8,9.2,21.1,0,29,10.2,1016.2
2023-05-15,14.2,9.1,20.4,1.3,328,9.4,1012.6
2023-05-16,12.1,7.8,16.3,0,356,17.3,1017.4
2023-05-17,11.5,6.2,17.3,0,9,14,1024.3
2023-05-18,12.5,5.7,19.3,0,35,14.8,1025.5
2023-05-19,14.6,8.2,21.3,0,35,14.1,1023.1
2023-05-20,16.4,12.1,21.2,0,32,18.6,1018.7
2023-05-21,20.6,14.5,27.6,0,41,12.5,1013.7
2023-05-22,21.7,15.7,28.9,0,27,7.5,1013.1
2023-05-23,16.6,10.4,19.9,0,332,16.4,1017.2
2023-05-24,12.1,7.9,16.9,0,13,14.8,1022.2
2023-05-25,15,8.2,21.7,0,18,15.7,1024.4
2023-05-26,16.3,10.3,22.2,0,19,16.6,1026
2023-05-27,17.3,9.6,24.7,0,35,14,1024.3
2023-05-28,19.1,11.7,26,0,28,11.1,1018.9
2023-05-29,19.3,13.7,26.2,0,20,17.5,1019.6
2023-05-30,17.5,12.1,23.4,0,27,18.3,1022.6
2023-05-31,19.8,12.5,26.7,0,40,16.4,1021.7
2023-06-01,20.2,12.3,27.9,0,19,14.2,1018.3
2023-06-02,15.5,10.3,21.6,0,18,16.6,1018.4
2023-06-03,17.6,10.6,24.4,0,36,16,1018.5
2023-06-04,18.8,11.7,25.7,0,33,14.2,1019.2
2023-06-05,20.1,13.3,27,0,24,13.5,1018.2
2023-06-06,20.4,14.5,26.6,0,28,12,1017.8
2023-06-07,20.6,15.5,25.8,0.5,38,10,1017.3
2023-06-08,20.3,15.8,27.5,7.4,50,10.6,1014.8
2023-06-09,22.4,15.2,29.6,0,56,13.1,1013.5
2023-06-10,23.7,16.7,30.7,0,52,13.5,1013.9
2023-06-11,23.9,16.9,30.4,0,64,12.2,1015.7
2023-06-12,23.2,16.7,28.9,0,69,12.6,1015.2
2023-06-13,21.7,14.5,27.7,0,64,12.7,1013.4
2023-06-14,19.8,14.4,24.8,0,49,13.8,1015.1
2023-06-15,20.9,14.6,27.1,0,18,11.4,1017.8
2023-06-16,20.9,14.8,26.9,0.2,2,10.8,1017
2023-06-17,21.9,13.6,29.6,0,349,8.6,1015
2023-06-18,24.3,14.6,31.9,0.2,81,7.1,1013
2023-06-19,24.8,19.9,29.4,3.5,220,9.7,1012.4
2023-06-20,24.7,19.5,32.3,3.2,202,9.9,1012.3
2023-06-21,24.1,18.6,29.8,0.6,236,10,1016.2
2023-06-22,23.8,18.9,32.8,5.4,58,11.8,1014.5
2023-06-23,21.1,17.4,26.3,0,298,22.4,1019
2023-06-24,22.2,14.6,29.1,0,9,6.3,1023.9
2023-06-25,24.9,16.7,31.9,0,90,7.9,1018.6
2023-06-26,23.4,17.1,30.1,0,261,13.7,1015.9
2023-06-27,20.5,15.5,25.5,0,301,11.9,1019.7
2023-06-28,20.6,17.7,25.6,0,340,6.1,1018.5
2023-06-29,21.8,15.7,26.7,2,23,7,1015
2023-06-30,19.3,14.5,22.4,0,331,12,1012
2023-07-01,17.7,13.6,21.6,2.7,231,16.8,1008.9
2023-07-02,19.6,14.9,24.9,0,251,18.7,1010.8
2023-07-03,19.6,16.2,24.1,0,240,18,1012.7
2023-07-04,21.2,15.6,27.1,3.9,233,14.4,1013.6
2023-07-05,19.2,16.5,23.4,0,233,21.9,1012.7
2023-07-06,20.1,13.8,26.4,0,258,9.6,1018
2023-07-07,23.2,12.8,31.9,0,59,9.3,1019.5
2023-07-08,26,17.9,34.4,0,103,9.8,1017.9
2023-07-09,27.7,19.7,36.6,0,200,6.2,1018.8
2023-07-10,25.8,20.6,31,0,299,11.1,1019.6
2023-07-11,26.9,18.1,35,2,240,11,1014.8
2023-07-12,23.8,18.9,29.1,0,242,15.4,1012
2023-07-13,21.2,16.6,26.6,0,275,12.5,1017.1
2023-07-14,22.8,15.7,29.3,0,154,8,1015.8
2023-07-15,22.9,18.3,29.4,6.5,223,14.4,1009.4
2023-07-16,21.4,17.4,26.3,0,233,18.8,1015.2
2023-07-17,21.6,16.3,27.7,0,246,14.5,1019
2023-07-18,21.8,13.4,28.8,0,22,6.7,1019.6
2023-07-19,22.3,16.6,28.9,0.1,312,11.2,1013.2
2023-07-20,20.5,17.1,25.9,0.4,277,10.6,1014.2
2023-07-21,17.8,13.3,21.9,8.7,329,8,1012
2023-07-22,19.4,12.1,25.5,0,245,13.1,1014.6
2023-07-23,21.2,16.5,26.6,0,225,16.9,1011.1
2023-07-24,21.3,17.3,26.7,5.8,230,16.5,1005.7
2023-07-25,16.5,14.8,19,9.9,349,10.5,1006.1
2023-07-26,15.9,12.5,22.3,4.3,251,12,1013.3
2023-07-27,16.5,14.6,18.7,15.8,213,16.3,1010.6
2023-07-28,19.5,17,23.4,7.1,227,15.7,1009.1
2023-07-29,21.5,18.1,26.9,2.7,224,16,1009.5
2023-07-30,19.8,16.4,22.1,5.5,241,16.6,1013
2023-07-31,19.4,16.5,23.7,29.4,220,20.2,1011.8
2023-08-01,18.2,16.2,21.8,12.1,238,21.4,1002.7
2023-08-02,18,15.8,20.9,12.3,209,21.1,1000
2023-08-03,18.2,16.2,20.3,2.1,229,27.1,1002.4
2023-08-04,17.4,14.4,21.7,2.3,329,8.2,1012.4
2023-08-05,17.2,12.6,23.8,7.1,261,8.4,1013.5
2023-08-06,15.1,13.3,18.6,8,233,17.7,1007
2023-08-07,15,12.8,20.4,0.1,267,20.4,1014.9
2023-08-08,16.7,11.6,20.3,4.6,245,16.1,1016.1
2023-08-09,16.5,12.4,20.7,2.6,272,12.2,1016.1
2023-08-10,18.6,12.2,26.1,0,247,6,1021.2
2023-08-11,22,13.1,30.1,1.8,130,6.9,1021.3
2023-08-12,21.8,18.8,25.6,4.7,212,10.3,1017.8
2023-08-13,21.7,18.3,26.4,0,228,9,1017.8
2023-08-14,22.3,17.7,27.7,4.2,176,7.2,1015.2
2023-08-15,21.7,19,27.4,4.3,199,7.8,1015.9
2023-08-16,21.9,18.1,28.5,38.8,37,6.8,1018.7
2023-08-17,21.7,16.7,27.6,0,46,5.6,1017.2
2023-08-18,24.8,18.2,32.1,0,60,9.3,1015.7
2023-08-19,24.9,20.3,29.8,0,57,8.5,1016.3
2023-08-20,25.8,20.2,32.2,0,0,9.2,1021.2
2023-08-21,26.1,20.9,32.2,0,359,8.6,1021.7
2023-08-22,24.3,20,30.2,0,334,7.9,1019.8
2023-08-23,23.2,17.4,29.6,0,353,6.8,1019.8
2023-08-24,21.8,17.4,28.4,2.6,63,8.7,1015.1
2023-08-25,22.4,18.5,27.3,9.3,216,11.5,1010.1
2023-08-26,19.8,16.2,23.4,0,239,12.1,1011.7
2023-08-27,17.6,13.5,21.4,2.1,230,8.2,1010.6
2023-08-28,15.6,11.7,19.5,0,354,7.3,1011.7
2023-08-29,15.8,12.8,19.7,5.5,336,9.6,1010.9
2023-08-30,16,12.8,21.8,2.5,233,12.1,1008.7
2023-08-31,15.9,12.5,20.6,1.3,242,14.1,1012.2
2023-09-01,17.1,14,21.1,6.4,212,11.7,1014.5
2023-09-02,19.1,13.5,26.1,0,30,6,1020.3
2023-09-03,19.3,15.3,24,0,20,9.7,1026.1
2023-09-04,20,13,27.7,0,51,11.2,1026.1
2023-09-05,21.3,14.3,29.1,0,64,10.3,1021.9
2023-09-06,21.5,14.2,29.4,0,49,9.5,1020.9
2023-09-07,22,14.9,30,0,51,10,1020.1
2023-09-08,22.1,15.1,30.6,0,68,9,1018.6
2023-09-09,22.3,15.1,30.8,0,57,6,1017.6
2023-09-10,22.8,15.7,30.9,0,52,5.3,1017.8
2023-09-11,23,15.9,31.3,0,84,5.7,1014.8
2023-09-12,22.8,17.5,30.5,1.2,305,8.3,1012.1
2023-09-13,19.8,14.3,24.1,0,274,12.3,1015.8
2023-09-14,15.9,11.7,21.5,0,22,8.9,1022.1
2023-09-15,17.7,10.6,25.2,0,41,9.4,1018.7
2023-09-16,20.8,14.2,28.5,0.2,57,7.6,1014.9
2023-09-17,22.8,17.9,28.5,0.2,174,8.2,1014
2023-09-18,20.6,16.7,23.9,0.6,194,15.8,1009
2023-09-19,18.2,15.9,21.6,0,230,17.7,1013.1
2023-09-20,19.5,15.1,25,0,202,14.5,1011.4
2023-09-21,18.2,13.6,24.5,6.6,202,11.8,1002.4
2023-09-22,15.7,12.2,20.5,6.6,216,17,1003.9
2023-09-23,13.6,9.9,18.1,0,243,13.9,1015.6
2023-09-24,14,7.8,20.5,0,170,7.7,1026
2023-09-25,14.8,8,22.4,0,93,9.4,1024.5
2023-09-26,16.3,9.6,24.7,0,30,6.1,1022.1
2023-09-27,17.8,11.3,25.8,0,58,6.4,1020.1
2023-09-28,19,13.5,25.9,0,209,7.6,1017.9
2023-09-29,19.4,15.8,25.8,0,234,13.3,1018.8
2023-09-30,15.7,11.3,20.9,0,315,6.3,1026.5
2023-10-01,15.5,9.1,23.2,0,218,7.8,1025.6
2023-10-02,17.5,11.5,25.4,0,206,7.6,1021.7
2023-10-03,15.8,10.6,23,6.8,236,18,1017.4
2023-10-04,13.3,10.2,18,0,236,12.3,1027.8
2023-10-05,12.7,9.7,16.2,0,234,10.6,1026.7
2023-10-06,13.3,7.9,19,0,226,9.9,1026.4
2023-10-07,15.5,10.2,20.6,0,227,16.2,1024
2023-10-08,16.6,12.5,21.3,0,235,11.2,1024.6
2023-10-09,16.5,12.6,20.9,0,232,10.9,1021
2023-10-10,16.8,11.8,22.4,0,224,9.4,1021
2023-10-11,19.2,13.7,26.4,0,226,15.5,1017.1
2023-10-12,16.5,15.4,18.1,4.3,220,14.8,1015.6
2023-10-13,20.2,15.5,25.7,0.8,213,16.7,1012.1
2023-10-14,15.5,7.9,22.1,0,269,21,1011.5
2023-10-15,8,4.3,12.5,0.2,262,12.5,1021
2023-10-16,6.3,1.8,11.9,0,26,7.1,1023.3
2023-10-17,7.1,3.4,13.3,0,50,10.6,1019.2
2023-10-18,9,2.5,14.8,7.6,63,13.2,1009.9
2023-10-19,13.2,10.3,15.5,5,172,10.6,996.1
2023-10-20,14.3,12.8,17.3,3.4,104,15,984.7
2023-10-21,15,12.6,18.1,0,200,21.1,995.9
2023-10-22,12.7,9.1,15,0,217,16.6,1009.3
2023-10-23,10.6,6.2,14.7,3.4,56,9.2,1012.8
2023-10-24,11.8,8.6,13.4,1.8,214,11.5,1006
2023-10-25,10.6,7.9,12.9,9.1,178,13.4,1000.3
2023-10-26,11.2,9.6,12.7,1.6,225,12.5,997
2023-10-27,11.4,9.5,14.3,10.3,219,12.9,995.2
2023-10-28,11.5,10.3,13.8,5,209,18.6,1000.9
2023-10-29,12.3,10.7,14.2,14.5,197,18.2,1000.8
2023-10-30,12.6,11.3,14.1,9,180,11,1001.6
2023-10-31,12.2,10.3,14.8,0.5,236,18.7,1004.2
2023-11-01,12.9,10.8,15.5,1.3,200,17.8,1005.7
2023-11-02,11.1,8,13.5,2.9,181,22.8,989.5
2023-11-03,8.9,5.5,11.7,0,223,17.1,989.3
2023-11-04,9,7.1,11.2,4.2,187,20.9,987.2
2023-11-05,11.3,10.1,13.1,0.7,217,24.8,983.5
2023-11-06,10.7,8.1,13.7,1.6,221,21.9,1004.8
2023-11-07,9.4,7.7,11.1,0.9,213,17.4,1013.2
2023-11-08,9.4,7.8,11.2,0,216,19.9,1015.9
2023-11-09,9,7.2,10.6,4.4,204,20.5,1006.7
2023-11-10,8.6,6.9,10.6,4.6,214,19.1,1001.5
2023-11-11,7.3,5.6,9,0,246,17.4,1005.4
2023-11-12,6.3,4.8,8.1,2,210,7.7,1009.1
2023-11-13,9.8,6,14.5,15.6,208,17.2,1007
2023-11-14,11.4,9.9,13.2,3.7,231,24.1,1007
2023-11-15,10.8,8,13.4,0.2,247,19.5,1015.2
2023-11-16,7.5,6.2,9,4.8,204,11.3,1014.2
2023-11-17,6.5,3.5,8.4,0.6,299,8.1,1019.4
2023-11-18,5.1,1,8,12,196,11,1024
2023-11-19,11.6,7.9,15.3,0.1,231,20.8,1012.7
2023-11-20,11,8.7,12.5,6,230,19.2,1011.6
2023-11-21,8.6,4.2,11.9,0.6,22,12.3,1015.2
2023-11-22,2.3,0.9,4.2,0,14,11.4,1028.7
2023-11-23,4.6,0.9,9.1,1.3,224,19.6,1023.3
2023-11-24,5.9,2.3,9.5,2.5,284,23.6,1009.8
2023-11-25,3.7,1.9,5.7,0.6,287,17.8,1010.9
2023-11-26,4.3,1.8,6.1,0.2,240,12.5,1016
2023-11-27,2.2,0.4,4.5,23.7,207,17,1004.5
2023-11-28,0.9,-0.5,2,0,307,17,1000.9
2023-11-29,1.2,-1.8,3.9,0,226,16,1006.4
2023-11-30,2.6,1.6,4.9,0,63,4.8,1002.7
2023-12-01,0.8,-1.5,1.8,0,17,14.4,1004.4
2023-12-02,-1.7,-2.3,-1.2,0,337,13.7,1013
2023-12-03,-1.6,-3.3,1,0,198,10.2,1023.6
2023-12-04,-1.4,-3,0.4,6.2,107,13.5,1013.6
2023-12-05,3.3,0.4,7,3.4,191,19.6,1005.9
2023-12-06,3.8,2.6,4.4,0,244,12.3,1014.6
2023-12-07,1.3,-0.3,3.3,0.5,169,10.6,1020.6
2023-12-08,2.1,0.5,3.9,1.4,199,9.7,1012.3
2023-12-09,6.2,3.6,8.6,11.2,202,16,1009
2023-12-10,9.3,7.7,11.1,0.1,229,24.3,1007.5
2023-12-11,10.4,8.8,12.5,0,235,20.2,1005.5
2023-12-12,8.1,6.1,9.3,9,195,10.5,1006.7
2023-12-13,7.9,5.5,9.9,2.6,224,11.4,1000.6
2023-12-14,5.9,4.4,8.2,0.4,270,7.7,1016.4
2023-12-15,5.8,4.3,7.3,0.1,237,9.2,1034.9
2023-12-16,6.3,4.2,8.4,0,225,10.6,1041.6
2023-12-17,3.6,2,4.7,0,214,10.4,1039.7
2023-12-18,1.2,0.6,2.1,0,220,13.6,1034.3
2023-12-19,2.8,1,5,8.3,222,20.3,1024.6
2023-12-20,6.1,4.5,8.4,0.6,238,20.5,1016.7
2023-12-21,8.2,4.4,11.6,8.6,246,29.5,1003
2023-12-22,7.6,3.5,10.7,2.2,267,26.3,1003.4
2023-12-23,8.9,6.9,10.3,1.1,251,25.8,1010
2023-12-24,10.1,8.5,11.2,4.7,229,27.6,1010.7
2023-12-25,10.3,9.2,10.9,2.7,226,26.2,1011.5
2023-12-26,9.6,5.9,11.3,0,236,21.8,1016
2023-12-27,7.1,4.8,9.5,0,191,10.3,1020.1
2023-12-28,9,6.5,11.5,0,219,22.2,1016.9
2023-12-29,10,9,11.3,0.2,225,26.6,1013.9
2023-12-30,9.1,7.5,11,0,225,18,1015.3
2023-12-31,7,4.4,9.4,0.9,202,16.4,1006.6
